Data,Veiculo,Produto,Serviço,Total,Fabricante
02/01/2024,COROLLA,"0,0","1100,0","1100,0",TOYOTA
02/01/2024,S10,"1650,77","1237,18","2887,95",CHEVROLET
02/01/2024,207 SW,"382,5","945,0","1327,5",PEUGEOT
03/01/2024,COMPASS,"1104,35","325,0","1429,35",JEEP
03/01/2024,HRV,"0,0","2090,0","2090,0",HONDA
03/01/2024,FIESTA,"60,0","220,0","280,0",FORD
04/01/2024,HB20S,"227,83","563,73","791,56",HYUNDAI
05/01/2024,ONIX,"1280,55","569,45","1850,0",CHEVROLET
05/01/2024,CELTA,"346,51","503,5","850,01",CHEVROLET
05/01/2024,HRV,"339,6","0,0","339,6",HONDA
08/01/2024,HILUX SW4,"0,0","340,0","340,0",TOYOTA
08/01/2024,X1,"1152,43","427,56","1579,99",BMW
08/01/2024,PAJERO TR4,"2632,24","1123,5","3755,74",MITSUBISHI
08/01/2024,UNO,"329,75","517,24","846,99",FIAT
08/01/2024,KA,"741,45","315,0","1056,45",FORD
08/01/2024,RENEGADE,"1791,85","850,0","2641,85",JEEP
09/01/2024,208,"0,0","340,01","340,01",PEUGEOT
10/01/2024,L200 TRITON,"1353,05","635,0","1988,05",MITSUBISHI
10/01/2024,VECTRA,"0,0","200,0","200,0",CHEVROLET
10/01/2024,S10,"434,46","554,94","989,4",CHEVROLET
11/01/2024,L200 TRITON,"920,0","0,0","920,0",MITSUBISHI
11/01/2024,S10,"456,56","685,0","1141,56",CHEVROLET
11/01/2024,C4 VTR,"1965,1","330,0","2295,1",CITROËN
11/01/2024,SANDERO,"576,0","130,0","706,0",RENAULT
11/01/2024,X1,"353,75","0,0","353,75",BMW
11/01/2024,PAMPA,"102,39","97,61","200,0",FIAT
11/01/2024,PAJERO TR4,"350,0","0,0","350,0",MITSUBISHI
12/01/2024,HILUX,"1719,79","565,22","2285,01",TOYOTA
15/01/2024,SPIN,"81,6","600,0","681,6",CHEVROLET
15/01/2024,S10,"826,07","603,0","1429,07",CHEVROLET
15/01/2024,MERIVA,"1200,0","0,0","1200,0",CHEVROLET
15/01/2024,PAJERO SPORT,"135,3","0,0","135,3",MITSUBISHI
15/01/2024,CIVIC,"0,0","190,0","190,0",HONDA
15/01/2024,JETTA,"2649,05","2775,0","5424,05",VOLKSWAGEN
15/01/2024,COMPASS,"687,0","160,0","847,0",JEEP
16/01/2024,LANCER,"1870,6","1950,0","3820,6",MITSUBISHI
16/01/2024,STRADA,"962,86","617,15","1580,01",FIAT
16/01/2024,PAJERO SPORT,"389,9","210,0","599,9",MITSUBISHI
16/01/2024,ONIX,"250,45","349,55","600,0",CHEVROLET
16/01/2024,FRONTIER,"0,0","495,0","495,0",NISSAN
17/01/2024,HILUX,"469,5","420,0","889,5",TOYOTA
17/01/2024,KICKS,"508,08","120,0","628,08",NISSAN
17/01/2024,KA,"439,45","120,0","559,45",FORD
18/01/2024,ONIX,"762,71","207,28","969,99",CHEVROLET
18/01/2024,CELTA,"486,35","322,65","809,0",CHEVROLET
18/01/2024,COMPASS,"2333,1","755,0","3088,1",JEEP
18/01/2024,TRACKER,"770,8","1020,0","1790,8",CHEVROLET
19/01/2024,ASTRA,"1123,08","350,0","1473,08",CHEVROLET
19/01/2024,COROLLA,"1089,15","585,0","1674,15",TOYOTA
22/01/2024,HILUX,"1521,94","634,33","2156,27",TOYOTA
22/01/2024,PALIO,"470,8","1379,22","1850,02",FIAT
23/01/2024,COROLLA,"0,0","130,0","130,0",TOYOTA
23/01/2024,VECTRA,"788,12","500,48","1288,6",CHEVROLET
23/01/2024,PRISMA,"5,0","0,0","5,0",CHEVROLET
24/01/2024,S10,"5988,63","2310,14","8298,77",CHEVROLET
24/01/2024,C3,"678,85","525,0","1203,85",CITROËN
24/01/2024,PAJERO TR4,"2313,95","1920,0","4233,95",MITSUBISHI
25/01/2024,SANDERO,"1377,1","797,9","2175,0",RENAULT
25/01/2024,STRADA,"16,5","140,0","156,5",FIAT
25/01/2024,208,"255,5","0,0","255,5",PEUGEOT
25/01/2024,PAJERO SPORT,"139,41","700,58","839,99",MITSUBISHI
25/01/2024,CRV,"323,73","0,0","323,73",HONDA
25/01/2024,HILUX,"882,65","180,0","1062,65",TOYOTA
26/01/2024,STRADA,"498,8","640,0","1138,8",FIAT
29/01/2024,PALIO WEEKEND,"340,36","209,64","550,0",FIAT
29/01/2024,HB20,"791,09","548,91","1340,0",HYUNDAI
29/01/2024,COMPASS,"704,6","960,0","1664,6",JEEP
30/01/2024,TORO,"1345,78","914,2","2259,98",FIAT
30/01/2024,PAJERO DAKAR,"120,0","0,0","120,0",MITSUBISHI
30/01/2024,HILUX,"6368,5","5205,0","11573,5",TOYOTA
30/01/2024,CRV,"0,0","360,0","360,0",HONDA
31/01/2024,TRACKER,"3507,1","310,0","3817,1",CHEVROLET
31/01/2024,HB20,"803,7","220,0","1023,7",HYUNDAI
31/01/2024,CLA,"0,0","595,0","595,0",MERCEDES
01/02/2024,CRUZE,"0,0","380,0","380,0",CHEVROLET
01/02/2024,RENEGADE,"140,4","185,0","325,4",JEEP
02/02/2024,HILUX SW4,"180,91","369,1","550,01",TOYOTA
