Data;Veiculo; Produto ; Serviço ; Total ;;;;
02/01/2024;BRAVO; 879,79 ; 515,21 ; 1.395,00 ;;;;
02/01/2024;COROLLA; 0,00 ; 1.100,00 ; 1.100,00 ;;;;
02/01/2024;DUCATO; 524,36 ; 735,63 ; 1.259,99 ;;;;
02/01/2024;S10; 1.650,77 ; 1.237,18 ; 2.887,95 ;;;;
02/01/2024;207 SW; 382,50 ; 945,00 ; 1.327,50 ;;;;
03/01/2024;COMPASS; 1.104,35 ; 325,00 ; 1.429,35 ;;;;
03/01/2024;HRV; 0,00 ; 2.090,00 ; 2.090,00 ;;;;
03/01/2024;FIESTA; 60,00 ; 220,00 ; 280,00 ;;;;
04/01/2024;GLA200FF; 0,00 ; 60,00 ; 60,00 ;;;;
04/01/2024;HB20S; 227,83 ; 563,73 ; 791,56 ;;;;
05/01/2024;ONIX; 1.280,55 ; 569,45 ; 1.850,00 ;;;;
05/01/2024;CELTA; 346,51 ; 503,50 ; 850,01 ;;;;
05/01/2024;HRV; 339,60 ; 0,00 ; 339,60 ;;;;
08/01/2024;GRAND SIENA; 985,26 ; 1.014,69 ; 1.999,95 ;;;;
08/01/2024;HILUX SW4; 0,00 ; 340,00 ; 340,00 ;;;;
08/01/2024;BMW X1; 1.152,43 ; 427,56 ; 1.579,99 ;;;;
08/01/2024;PAJERO TR4; 2.632,24 ; 1.123,50 ; 3.755,74 ;;;;
08/01/2024;UNO; 329,75 ; 517,24 ; 846,99 ;;;;
08/01/2024;KA; 741,45 ; 315,00 ; 1.056,45 ;;;;
08/01/2024;RENEGADE; 1.791,85 ; 850,00 ; 2.641,85 ;;;;
08/01/2024;RAM RAMPAGE; 828,00 ; 0,00 ; 828,00 ;;;;
09/01/2024;L200 SAVANA; 1.967,86 ; 1.092,12 ; 3.059,98 ;;;;
09/01/2024;MARCH; 310,40 ; 340,00 ; 650,40 ;;;;
09/01/2024;PEUGEOT 208; 0,00 ; 340,01 ; 340,01 ;;;;
10/01/2024;L200 TRITON; 1.353,05 ; 635,00 ; 1.988,05 ;;;;
10/01/2024;VECTRA; 0,00 ; 200,00 ; 200,00 ;;;;
10/01/2024;S10; 434,46 ; 554,94 ; 989,40 ;;;;
11/01/2024;L200 TRITON; 920,00 ; 0,00 ; 920,00 ;;;;
11/01/2024;S10; 456,56 ; 685,00 ; 1.141,56 ;;;;
11/01/2024;C4 VTR; 1.965,10 ; 330,00 ; 2.295,10 ;;;;
11/01/2024;SANDERO; 576,00 ; 130,00 ; 706,00 ;;;;
11/01/2024;L200 OUTDOOR; 593,70 ; 220,00 ; 813,70 ;;;;
11/01/2024;BMW X1; 353,75 ; 0,00 ; 353,75 ;;;;
11/01/2024;PAMPA; 102,39 ; 97,61 ; 200,00 ;;;;
11/01/2024;PAJERO TR4; 350,00 ; 0,00 ; 350,00 ;;;;
12/01/2024;HILUX; 1.719,79 ; 565,22 ; 2.285,01 ;;;;
15/01/2024;SPIN; 81,60 ; 600,00 ; 681,60 ;;;;
15/01/2024;S10; 826,07 ; 603,00 ; 1.429,07 ;;;;
15/01/2024;MERIVA; 1.200,00 ; 0,00 ; 1.200,00 ;;;;
15/01/2024;PAJERO SPORT; 135,30 ; 0,00 ; 135,30 ;;;;
15/01/2024;CIVIC; 0,00 ; 190,00 ; 190,00 ;;;;
15/01/2024;JETTA; 2.649,05 ; 2.775,00 ; 5.424,05 ;;;;
15/01/2024;ESCORT; 2.462,83 ; 1.537,16 ; 3.999,99 ;;;;
15/01/2024;COMPASS; 687,00 ; 160,00 ; 847,00 ;;;;
16/01/2024;COURIER; 179,50 ; 165,00 ; 344,50 ;;;;
16/01/2024;LANCER; 1.870,60 ; 1.950,00 ; 3.820,60 ;;;;
16/01/2024;STRADA; 962,86 ; 617,15 ; 1.580,01 ;;;;
16/01/2024;PAJERO SPORT; 389,90 ; 210,00 ; 599,90 ;;;;
16/01/2024;ONIX; 250,45 ; 349,55 ; 600,00 ;;;;
16/01/2024;FRONTIER; 0,00 ; 495,00 ; 495,00 ;;;;
17/01/2024;HILUX; 469,50 ; 420,00 ; 889,50 ;;;;
17/01/2024;KICKS; 508,08 ; 120,00 ; 628,08 ;;;;
17/01/2024;KA; 439,45 ; 120,00 ; 559,45 ;;;;
18/01/2024;ONIX; 762,71 ; 207,28 ; 969,99 ;;;;
18/01/2024;CELTA; 486,35 ; 322,65 ; 809,00 ;;;;
18/01/2024;COMPASS; 2.333,10 ; 755,00 ; 3.088,10 ;;;;
18/01/2024;TRACKER; 770,80 ; 1.020,00 ; 1.790,80 ;;;;
19/01/2024;ASTRA; 1.123,08 ; 350,00 ; 1.473,08 ;;;;
19/01/2024;COROLLA; 1.089,15 ; 585,00 ; 1.674,15 ;;;;
22/01/2024;HILUX; 1.521,94 ; 634,33 ; 2.156,27 ;;;;
22/01/2024;L200 OUTDOOR; 4.334,10 ; 3.840,00 ; 8.174,10 ;;;;
22/01/2024;PALIO; 470,80 ; 1.379,22 ; 1.850,02 ;;;;
23/01/2024;COROLLA; 0,00 ; 130,00 ; 130,00 ;;;;
23/01/2024;VECTRA; 788,12 ; 500,48 ; 1.288,60 ;;;;
23/01/2024;PAJERO; 650,30 ; 0,00 ; 650,30 ;;;;
23/01/2024;PRISMA; 5,00 ; 0,00 ; 5,00 ;;;;
24/01/2024;S10; 5.988,63 ; 2.310,14 ; 8.298,77 ;;;;
24/01/2024;FOX; 354,60 ; 80,00 ; 434,60 ;;;;
24/01/2024;C3; 678,85 ; 525,00 ; 1.203,85 ;;;;
24/01/2024;PAJERO TR4; 2.313,95 ; 1.920,00 ; 4.233,95 ;;;;
25/01/2024;308; 420,00 ; 405,00 ; 825,00 ;;;;
25/01/2024;SANDERO; 1.377,10 ; 797,90 ; 2.175,00 ;;;;
25/01/2024;STRADA; 16,50 ; 140,00 ; 156,50 ;;;;
25/01/2024;PEUGEOT 208; 255,50 ; 0,00 ; 255,50 ;;;;
25/01/2024;PAJERO SPORT; 139,41 ; 700,58 ; 839,99 ;;;;
25/01/2024;CRV; 323,73 ; 0,00 ; 323,73 ;;;;
25/01/2024;HILUX; 882,65 ; 180,00 ; 1.062,65 ;;;;
26/01/2024;STRADA; 498,80 ; 640,00 ; 1.138,80 ;;;;
26/01/2024;FIORINO; 141,28 ; 218,72 ; 360,00 ;;;;
29/01/2024;PALIO WEEKEND; 340,36 ; 209,64 ; 550,00 ;;;;
29/01/2024;HB20; 791,09 ; 548,91 ; 1.340,00 ;;;;
29/01/2024;COMPASS; 704,60 ; 960,00 ; 1.664,60 ;;;;
30/01/2024;TORO; 1.345,78 ; 914,20 ; 2.259,98 ;;;;
30/01/2024;PAJERO DAKAR; 120,00 ; 0,00 ; 120,00 ;;;;
30/01/2024;HILUX; 6.368,50 ; 5.205,00 ; 11.573,50 ;;;;
30/01/2024;CRV; 0,00 ; 360,00 ; 360,00 ;;;;
30/01/2024;JETTA VARIANT; 0,00 ; 280,00 ; 280,00 ;;;;
31/01/2024;TRACKER; 3.507,10 ; 310,00 ; 3.817,10 ;;;;
31/01/2024;HB20; 803,70 ; 220,00 ; 1.023,70 ;;;;
31/01/2024;MERCEDES CLA; 0,00 ; 595,00 ; 595,00 ;;;;
01/02/2024;CRUZE; 0,00 ; 380,00 ; 380,00 ;;;;
01/02/2024;RENEGADE; 140,40 ; 185,00 ; 325,40 ;;;;
01/02/2024;TIGUAN; 1.089,17 ; 660,83 ; 1.750,00 ;;;;
02/02/2024;C250; 350,50 ; 200,00 ; 550,50 ;;;;
02/02/2024;HILUX SW4; 180,91 ; 369,10 ; 550,01 ;;;;
02/02/2024;PAJERO GLS-B; 875,55 ; 0,00 ; 875,55 ;;;;
05/02/2024;S10; 1.799,29 ; 555,70 ; 2.354,99 ;;;;
05/02/2024;HILUX; 1.238,50 ; 480,00 ; 1.718,50 ;;;;
05/02/2024;3008; 490,45 ; 370,00 ; 860,45 ;;;;
05/02/2024;BMW X1; 9.943,69 ; 2.456,32 ; 12.400,01 ;;;;
06/02/2024;COMPASS; 0,00 ; 440,00 ; 440,00 ;;;;
06/02/2024;CRUZE; 2.446,06 ; 1.053,95 ; 3.500,01 ;;;;
06/02/2024;JETTA; 619,53 ; 1.606,00 ; 2.225,53 ;;;;
06/02/2024;S10; 0,00 ; 120,00 ; 120,00 ;;;;
